MAP_ID	GAMESVR_SET_1	GAMESVR_SET_2	GAMESVR_SET_3	GAMESVR_SET_4	GAMESVR_SET_5	GAMESVR_SET_6	GAMESVR_SET_7	GAMESVR_SET_8	GAMESVR_SET_9	GAMESVR_SET_10	GAMESVR_SET_11	GAMESVR_SET_12	GAMESVR_SET_13	GAMESVR_SET_14	GAMESVR_SET_15	GAMESVR_SET_16	Ghi chú
269	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	Bàn Long Cốc Chiến (Dương Châu 2)
270	1	2	2	4	2	5	3	7	7	7	7	7	7	7	7	7	Bàn Long Cốc Chiến (Phượng Tường 2)
271	1	2	3	3	5	3	6	8	8	8	8	8	8	8	8	8	Bàn Long Cốc Chiến (Tương Dương 2)
274	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Đại điện Bạch Hổ Đường (sơ 2)
275	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Bạch Hổ Đường 1_Đông (sơ 2)
276	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Bạch Hổ Đường 1_Nam (sơ 2)
277	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Bạch Hổ Đường 1_Tây (sơ 2)
278	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Bạch Hổ Đường 1_Bắc (sơ 2)
279	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Bạch Hổ Đường 2_Âm (sơ 2)
280	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Bạch Hổ Đường 2_Dương (sơ 2)
281	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Bạch Hổ Đường 3 (sơ 2)
282	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	Báo Danh Chiến Trường_Tống (Dương Châu 3)
283	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	Báo Danh Chiến Trường_Kim (Dương Châu 3)
284	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	Cửu Khúc Chiến (Dương Châu 3)
285	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	Ngũ Trượng Nguyên Chiến (Dương Châu 3)
286	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	Bàn Long Cốc Chiến (Dương Châu 3)
298	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Tiêu Dao Cốc
299	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Tiêu Dao Cốc
300	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Tiêu Dao Cốc
301	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Tiêu Dao Cốc
302	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Tiêu Dao Cốc
303	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Tiêu Dao Cốc
304	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Tiêu Dao Cốc
305	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Tiêu Dao Cốc
306	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Tiêu Dao Cốc
307	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Tiêu Dao Cốc
308	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	Tiêu Dao Cốc
309	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	Tiêu Dao Cốc
310	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	Tiêu Dao Cốc
311	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	Tiêu Dao Cốc
312	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	Tiêu Dao Cốc
313	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Tiêu Dao Cốc
314	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Tiêu Dao Cốc
315	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Tiêu Dao Cốc
316	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Tiêu Dao Cốc
317	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Tiêu Dao Cốc
318	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	Tiêu Dao Cốc
319	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	Tiêu Dao Cốc
320	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	Tiêu Dao Cốc
321	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	Tiêu Dao Cốc
322	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	Tiêu Dao Cốc
323	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Tiêu Dao Cốc
324	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Tiêu Dao Cốc
325	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Tiêu Dao Cốc
326	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Tiêu Dao Cốc
327	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Tiêu Dao Cốc
328	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Tiêu Dao Cốc
329	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Tiêu Dao Cốc
330	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Tiêu Dao Cốc
331	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Tiêu Dao Cốc
332	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Tiêu Dao Cốc
341	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Báo Danh Tiêu Dao Cốc 1
342	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Báo Danh Tiêu Dao Cốc 2
399	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	Thiên Lao
400	1	2	2	4	5	5	7	8	8	8	8	8	8	8	8	8	Khoang Thuyền 1
401	1	2	2	4	5	5	7	8	8	8	8	8	8	8	8	8	Khoang Thuyền 2
402	1	2	2	4	5	5	7	8	8	8	8	8	8	8	8	8	Khoang Thuyền 3
403	1	2	2	4	5	5	7	8	8	8	8	8	8	8	8	8	Phòng Bùi Dực Phi
404	1	2	2	4	5	5	7	8	8	8	8	8	8	8	8	8	Phòng Cầu Chỉ Thủy
405	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Ngoại Mộ Anh Hùng
406	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Ưng Chuẩn Giác
407	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Mãnh Hổ Hạng
408	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Đảo khỉ
409	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Trích Thủy Động
410	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Tàng Vân Hiên
411	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Biệt Viện Trường Giang
412	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Xích Luyện Xà Động
413	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Đăng Sát Khẩu
414	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Cam Lộ Cốc 1
415	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Cam Lộ Cốc 2
416	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Cuối Cam Lộ Cốc
417	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Cuối Cam Lộ Cốc
418	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Vấn Tâm Các
419	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Vấn Tâm Các
420	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Tụ Nghĩa Sảnh
421	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Nữ Vu Oa Bằng
422	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Phòng Ân Đồng
423	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Phòng Ân Phương
424	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Đăng Sát Khẩu Lâu
425	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Nơi ở Mộc Thị
426	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Cuối Cát Hà Lĩnh
427	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Cuối Cát Hà Lĩnh
428	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Mê Cung Thạch Tượng_1
429	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Mê Cung Thạch Tượng_2
430	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Mê Cung Thạch Tượng_3
431	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Biệt Viện Âm Sơn
432	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Biệt Viện Âm Sơn
433	1	1	1	2	3	3	2	3	3	3	3	3	3	3	3	3	Giải Kiếm Trì
434	1	1	1	2	3	3	2	3	3	3	3	3	3	3	3	3	Thanh Hư Chân Thất
435	1	1	1	2	3	3	2	3	3	3	3	3	3	3	3	3	Thanh Hư Chân Thất
436	1	1	1	2	3	3	2	3	3	3	3	3	3	3	3	3	Vân Lộc Thủy Cư
437	1	1	1	2	3	3	2	3	3	3	3	3	3	3	3	3	Vân Lộc Thủy Cư
438	1	1	1	2	3	3	2	3	3	3	3	3	3	3	3	3	Vân Lộc Thủy Cư
439	1	1	1	2	3	3	2	3	3	3	3	3	3	3	3	3	Nơi ở Đào Vĩnh Xương
440	1	1	1	2	3	3	2	3	3	3	3	3	3	3	3	3	Nơi ở Đào Vĩnh Xương
441	1	1	1	2	3	3	2	3	3	3	3	3	3	3	3	3	Nơi ở Đào Vĩnh Xương
442	1	1	1	2	3	3	2	3	3	3	3	3	3	3	3	3	Nơi ở Đào Vĩnh Xương
443	1	1	1	2	3	3	2	3	3	3	3	3	3	3	3	3	Nơi ở Ngụy Trường Phong
444	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Kim Cang Lĩnh
445	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Kim Cang Lĩnh
446	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Sơ Tổ Am
447	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Tiệm Cháo
448	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Hồi Phong Giác Thảo Đường
449	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Hồi Phong Giác Thảo Đường
450	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Huyền Tự Lao
451	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Nơi ở Ngột Tát
452	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Thiên Hình Điện
453	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Trung Thành Điện
454	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	Nội Doanh Hành Tại
455	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	Đại Trướng Trung Quân
456	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	Từ Vân Am
457	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	Phòng Cừu Tuyết
458	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Kiến Long Động
459	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Bố Y Các
460	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Bố Y Các
461	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Chuyết Giả Cư
462	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Gian tây Biệt Nhã Tiểu Trúc
463	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Gian chính Biệt Nhã Tiểu Trúc
464	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Xuân Mai Nhã Trúc
465	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Xuân Mai Nhã Trúc
466	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Xuân Mai Nhã Trúc
467	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Hậu đình Xuân Mai Nhã Trúc
468	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Hậu đình Xuân Mai Nhã Trúc
469	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Dịch Quán
470	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Dịch Quán
471	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Trận pháp tầng kế
472	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Trận Pháp Tổng Khu
473	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Huyền Nguyệt Đại Trận
474	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Trung tâm Huyền Nguyệt Trận
475	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Phẩm Hà Đường
476	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Bồ Sát Phong Nô
477	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Tàng Kiếm Sơn Trang
478	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Tri Xuân Đài
479	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Phủ đệ Chu Hy
480	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Vào cung dạy học
481	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Vào cung dạy học
482	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Vào cung dạy học
483	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Phủ đệ Bành Quy Niên
484	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Hậu viện Bành Phủ
485	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Đại sảnh Triệu Phủ
486	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Lâm An Thành
487	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Phủ đệ Chu Hy
488	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Lâm An Thành
489	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Mật Thất Thẩm Phủ
490	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Lâm An Thành
491	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Lâm An Thành
492	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Lâm An Thành
498	1	1	1	1	1	1	1	7	7	7	7	7	7	7	7	7	Hiệp Sĩ Danh Cư
499	1	1	2	2	2	2	2	7	7	7	7	7	7	7	7	7	Quý Tộc Vương Phủ
500	1	2	3	3	3	3	3	7	7	7	7	7	7	7	7	7	Bãi Biển Vương Hầu
501	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	Nhà tranh
502	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	Nhà tranh
503	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	Ẩn Sở
504	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	Phân Đà Cái Bang
505	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	Mật Đạo Cái Bang
506	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	Long Vương Miếu
507	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	Long Vương Miếu
508	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	Sơn Động
509	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	Soái Trướng Hổ Sư
510	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	Nhà Ẩn Giả
511	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	Phi Long Cốc
512	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	Phi Long Trận
513	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Thiên Quỳnh Cung
514	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Thiên Ngoại Thiên
515	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Đại sảnh Triệu Phủ
516	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Đại sảnh Hàn Phủ
517	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Gian bên Hàn Phủ
518	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Tẩm Cung Hoàng Thượng
519	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Tẩm Cung Thái Hậu
520	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Tẩm Cung Thái Hậu
521	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Tẩm Cung Thái Hậu
522	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Tri Xuân Đài
523	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Hoàng Cung Đại Điện
524	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Linh Ẩn Tự
525	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Sòng Bạc Vong Quy
526	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Doanh Trướng Lỗ Binh
527	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Doanh Trướng Lương Hạng Lâm
528	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Mật Thất Lương Hạng Lâm
529	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	Phục Ngưu Sơn Trang
530	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Hắc Long Đàm
531	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Sơn Trại
532	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Sơn Trại
533	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Biệt Viện Đường Môn
534	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Biệt Viện Đường Môn
535	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	Dịch Quán
536	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	Biệt Viện Ngô Hy
537	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	Biệt Viện Phòng Khách
538	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	Biệt Viện Phòng Khách
539	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	Nhà nhỏ bên đường
540	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Phòng giam
541	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Nhà nhỏ
542	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Nhà lớn
543	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Quán trọ
544	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Nhất Phẩm Đường Binh Doanh
545	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	Tiêu Thạch Cốc
546	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	Tụ Nghĩa Lâu
547	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	Lầu Các
548	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Mãng Xà Động
549	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Hiệp Cốc
550	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Hiệp Cốc
551	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Hiệp Cốc
552	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Hiệp Cốc
553	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Thái Tổ Bảo Khố
554	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Nơi ở Đại Nhật La
555	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Thượng Tiên Trang
556	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Phục Ngưu Sơn Quân Doanh 1
558	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Phục Ngưu Sơn Quân Doanh 2
559	1	2	2	4	2	5	3	7	7	7	7	7	7	7	7	7	Phục Ngưu Sơn Quân Doanh 3
561	1	1	1	1	1	1	1										Vọng Long Sơn
562	1	1	1	1	1	1	1										Nhà hoang
563	1	1	1	1	1	1	1										Mật Thất Vương Phủ
564	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Ngự Thư Phòng Hoàng Cung
565	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Tẩm Cung Hàn Hoàng Hậu
566	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Ngọc Noãn Các
567	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Kim Duyệt Hiên
568	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Hoàng Cung Đại Điện
569	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Linh Bích Bạc
570	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Bạch Phủ Mộng Cảnh
571	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Sơn Trại Mộng Cảnh
572	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Thân Thế Mộng Cảnh
573	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Bí Doanh quân Kim
574	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Du Long Bảo Khố
575	1	2	3	4	4	4	4	7	7	7	7	7	7	7	7	7	Bãi Biển Vương Hầu
576	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Hiệp Lữ_Khu Chuẩn Bị
577	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Hiệp Lữ_Khu Chuẩn Bị
578	1	1	1	2	3	3	3	3	3	3	3	3	3	3	3	3	Hiệp Lữ_Khu Chuẩn Bị
579	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Hiệp Lữ_Khu Chuẩn Bị
580	1	2	2	3	5	5	5	5	5	5	5	5	5	5	5	5	Hiệp Lữ_Khu Chuẩn Bị
581	1	2	3	3	1	6	6	6	6	6	6	6	6	6	6	6	Hiệp Lữ_Khu Chuẩn Bị
582	1	2	3	4	2	1	7	7	7	7	7	7	7	7	7	7	Hiệp Lữ_Khu Chuẩn Bị
583	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	Trạm Gác Tiền Tuyến (1) 
584	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Trạm Gác Tiền Tuyến (2) 
585	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	Trạm Gác Tiền Tuyến (3) 
587	1	2	2	4	2	4	4	7	7	7	7	7	7	7	7	7	Ngọc Lộ Thôn
800	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Phòng bên Trường Ca Môn
801	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Phòng bên Trường Ca Môn
802	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Vũ Di Sơn Tinh Xá
803	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Vũ Di Sơn Tinh Xá
804	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Vũ Di Sơn Tinh Xá
805	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Phủ đệ Chu Hy
806	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Mật Thất Chu Hy
807	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Mật Thất Chu Hy
808	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Hậu viện tinh xá Vũ Di Sơn
809	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Đại sảnh Hàn Phủ
810	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Phòng bên Trường Ca Môn
811	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Lâm An Thành
812	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Phòng giam Hoàn Nhan Quang
813	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Phòng Trần Quý Thường
814	1	2	2	4	5	5	7	8	8	8	8	8	8	8	8	8	Lạc Nữ Động
815	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Trong Phục Ngưu Sơn Trang
816	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Bách Cổ Trận 1
817	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Bách Cổ Trận 2
818	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Tiên Linh Động
819	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Hoàng Cung Đại Lý
820	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Hậu Viện Hoàng Cung
821	1	2	3	3	5	2	5	5	5	5	5	5	5	5	5	5	Đại điện Bạch Hổ Đường (cao)
822	1	2	3	3	5	2	5	5	5	5	5	5	5	5	5	5	Bạch Hổ Đường 1_Đông (cao)
823	1	2	3	3	5	2	5	5	5	5	5	5	5	5	5	5	Bạch Hổ Đường 1_Nam (cao)
824	1	2	3	3	5	2	5	5	5	5	5	5	5	5	5	5	Bạch Hổ Đường 1_Tây (cao)
825	1	2	3	3	5	2	5	5	5	5	5	5	5	5	5	5	Bạch Hổ Đường 1_Bắc (cao)
826	1	2	3	3	5	2	5	5	5	5	5	5	5	5	5	5	Bạch Hổ Đường 2_Âm (cao)
827	1	2	3	3	5	2	5	5	5	5	5	5	5	5	5	5	Bạch Hổ Đường 2_Dương (cao)
828	1	2	3	3	5	2	5	5	5	5	5	5	5	5	5	5	Bạch Hổ Đường 3 (cao)
1401	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Hội trường liên đấu (sơ) (1)
1402	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Hội trường liên đấu (sơ) (2)
1403	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Hội trường liên đấu (sơ) (3)
1404	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Hội trường liên đấu (sơ) (4)
1405	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	Hội trường liên đấu (sơ) (5)
1406	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Hội trường liên đấu (sơ) (6)
1407	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	Hội trường liên đấu (sơ) (7)
1408	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Hội trường liên đấu (sơ) (8)
1409	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Hội trường liên đấu (sơ) (9)
1410	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Hội trường liên đấu (sơ) (10)
1411	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	Hội trường liên đấu (sơ) (11)
1412	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	Hội trường liên đấu (sơ) (12)
1413	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Khu chuẩn bị liên đấu (sơ) (1)
1414	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Khu chuẩn bị liên đấu (sơ) (2)
1415	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Khu chuẩn bị liên đấu (sơ) (3)
1416	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Khu chuẩn bị liên đấu (sơ) (4)
