Name	Kind	Category	Genre	DetailType	ParticularType	Level	Icon	View	ObjID	Intro	Help	Series	Price	ItemValue	MakeCost	RefineLevel	BindType	Valuable	ClassName	ResMale	ResFemale	BasicProp1Type	BasicProp1PA1Min	BasicProp1PA1Max	BasicProp1PA2Min	BasicProp1PA2Max	BasicProp1PA3Min	BasicProp1PA3Max	BasicProp2Type	BasicProp2PA1Min	BasicProp2PA1Max	BasicProp2PA2Min	BasicProp2PA2Max	BasicProp2PA3Min	BasicProp2PA3Max	BasicProp3Type	BasicProp3PA1Min	BasicProp3PA1Max	BasicProp3PA2Min	BasicProp3PA2Max	BasicProp3PA3Min	BasicProp3PA3Max	BasicProp4Type	BasicProp4PA1Min	BasicProp4PA1Max	BasicProp4PA2Min	BasicProp4PA2Max	BasicProp4PA3Min	BasicProp4PA3Max	BasicProp5Type	BasicProp5PA1Min	BasicProp5PA1Max	BasicProp5PA2Min	BasicProp5PA2Max	BasicProp5PA3Min	BasicProp5PA3Max	BasicProp6Type	BasicProp6PA1Min	BasicProp6PA1Max	BasicProp6PA2Min	BasicProp6PA2Max	BasicProp6PA3Min	BasicProp6PA3Max	BasicProp7Type	BasicProp7PA1Min	BasicProp7PA1Max	BasicProp7PA2Min	BasicProp7PA2Max	BasicProp7PA3Min	BasicProp7PA3Max	BasicProp8Type	BasicProp8PA1Min	BasicProp8PA1Max	BasicProp8PA2Min	BasicProp8PA2Max	BasicProp8PA3Min	BasicProp8PA3Max	BasicProp9Type	BasicProp9PA1Min	BasicProp9PA1Max	BasicProp9PA2Min	BasicProp9PA2Max	BasicProp9PA3Min	BasicProp9PA3Max	BasicProp10Type	BasicProp10PA1Min	BasicProp10PA1Max	BasicProp10PA2Min	BasicProp10PA2Max	BasicProp10PA3Min	BasicProp10PA3Max	ReqProp1Type	ReqProp1Value	ReqProp2Type	ReqProp2Value	ReqProp3Type	ReqProp3Value	ReqProp4Type	ReqProp4Value	ReqProp5Type	ReqProp5Value	ReqProp6Type	ReqProp6Value	Enh1Times	EnhMA1Name	EnhMA1PA1Min	EnhMA1PA1Max	EnhMA1PA2Min	EnhMA1PA2Max	EnhMA1PA3Min	EnhMA1PA3Max	Enh2Times	EnhMA2Name	EnhMA2PA1Min	EnhMA2PA1Max	EnhMA2PA2Min	EnhMA2PA2Max	EnhMA2PA3Min	EnhMA2PA3Max	Enh3Times	EnhMA3Name	EnhMA3PA1Min	EnhMA3PA1Max	EnhMA3PA2Min	EnhMA3PA2Max	EnhMA3PA3Min	EnhMA3PA3Max	Enh4Times	EnhMA4Name	EnhMA4PA1Min	EnhMA4PA1Max	EnhMA4PA2Min	EnhMA4PA2Max	EnhMA4PA3Min	EnhMA4PA3Max	Enh5Times	EnhMA5Name	EnhMA5PA1Min	EnhMA5PA1Max	EnhMA5PA2Min	EnhMA5PA2Max	EnhMA5PA3Min	EnhMA5PA3Max	Enh6Times	EnhMA6Name	EnhMA6PA1Min	EnhMA6PA1Max	EnhMA6PA2Min	EnhMA6PA2Max	EnhMA6PA3Min	EnhMA6PA3Max	UnLockInterval
[Mặt Nạ] Túy Tăng		1	1	13	93	1	\image\item\equip\mask\mianju_putong.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		2773	2773																																																																																																																																
[Mặt Nạ] Lãnh Sương Nhiên		1	1	13	94	1	\image\item\equip\mask\mianju_putong.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		2741	2741																																																																																																																																
[Mặt Nạ] Tiêu Lương		1	1	13	95	1	\image\item\equip\mask\mianju_putong.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		2742	2742																																																																																																																																
[Mặt Nạ] Mục Đồng		1	1	13	96	1	\image\item\equip\mask\mianju_putong.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		4483	4483																																																																																																																																
[Mặt Nạ] Chức Nữ		1	1	13	97	1	\image\item\equip\mask\mianju_putong.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		6882	6882																																																																																																																																
[Mặt Nạ] Nhu Tiểu Thúy		1	1	13	98	1	\image\item\equip\mask\mianju_putong.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		7109	7109																																																																																																																																
[Mặt Nạ] Trương Thiện Đức		1	1	13	99	1	\image\item\equip\mask\mianju_putong.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		7110	7110																																																																																																																																
[Mặt Nạ] Cổ Dật Sơn		1	1	13	100	1	\image\item\equip\mask\mianju_putong.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		7111	7111																																																																																																																																
[Mặt Nạ] Ô Sơn Thanh		1	1	13	101	1	\image\item\equip\mask\mianju_putong.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		7112	7112																																																																																																																																
[Mặt Nạ] Trân Vô Mệnh		1	1	13	102	1	\image\item\equip\mask\mianju_putong.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		7113	7113																																																																																																																																
[Mặt Nạ] Diệp Tịnh		1	1	13	103	1	\image\item\equip\mask\mianju_putong.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		7114	7114																																																																																																																																
[Mặt Nạ] Bảo Ngọc		1	1	13	104	1	\image\item\equip\mask\mianju_putong.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		7115	7115																																																																																																																																
[Mặt Nạ] Hạ Tiểu Sảnh		1	1	13	105	1	\image\item\equip\mask\mianju_putong.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		7116	7116																																																																																																																																
[Mặt Nạ] Tần Trọng		1	1	13	106	1	\image\item\equip\mask\mianju_putong.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		7117	7117																																																																																																																																
[Mặt Nạ] Mộc Siêu		1	1	13	107	1	\image\item\equip\mask\mianju_putong.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		7118	7118																																																																																																																																
[Mặt Nạ] Tử Uyển		1	1	13	108	1	\image\item\equip\mask\mianju_putong.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		7119	7119																																																																																																																																
[Mặt Nạ] Oanh Oanh		1	1	13	109	1	\image\item\equip\mask\mianju_putong.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		7120	7120																																																																																																																																
[Mặt Nạ] Tần Thủy Hoàng		1	1	13	110	1	\image\item\equip\mask\mianju_putong.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		2450	2450																																																																																																																																
[Mặt Nạ] Diệp Tịnh		1	1	13	111	1	\image\item\equip\mask\mianju_putong.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		7114	7114																																																																																																																																
[Mặt Nạ] Chung Chí Minh		1	1	13	112	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		6732	6732																																																																																																																																
[Mặt Nạ] Điệp Phiêu Phiêu		1	1	13	113	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		6733	6733																																																																																																																																
[Mặt Nạ] Chung Chí Minh		1	1	13	114	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		6732	6732																																																																																																																																
[Mặt Nạ] Điệp Phiêu Phiêu		1	1	13	115	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		6733	6733																																																																																																																																
[Mặt Nạ] Nhất Đại Thiên Kiêu		1	1	13	116	1	\image\item\equip\mask\mianju_putong.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	100000			1	0	mask	0	0		7159	7159																																																																																																																																
[Mặt Nạ] Lúm Đồng Tiền		1	1	13	117	1	\image\item\equip\mask\mianju_putong.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	100000			1	0	mask	0	0		7160	7160																																																																																																																																
[Mặt Nạ] Anh Hùng		1	1	13	118	1	\image\item\equip\mask\mianju_putong.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			2	0	mask	0	0		7162	7162																																																																																																																																
[Mặt Nạ] Anh Hùng		1	1	13	119	1	\image\item\equip\mask\mianju_putong.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			2	0	mask	0	0		7163	7163																																																																																																																																
[Mặt Nạ] Anh Hùng		1	1	13	120	1	\image\item\equip\mask\mianju_putong.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			2	0	mask	0	0		7164	7164																																																																																																																																
[Mặt Nạ] Anh Hùng		1	1	13	121	1	\image\item\equip\mask\mianju_putong.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			2	0	mask	0	0		7165	7165																																																																																																																																
[Mặt Nạ] Mỹ Nữ		1	1	13	122	1	\image\item\equip\mask\mianju_putong.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			2	0	mask	0	0		7166	7166																																																																																																																																
[Mặt Nạ] Mỹ Nữ		1	1	13	123	1	\image\item\equip\mask\mianju_putong.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			2	0	mask	0	0		7167	7167																																																																																																																																
[Mặt Nạ] Mỹ Nữ		1	1	13	124	1	\image\item\equip\mask\mianju_putong.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			2	0	mask	0	0		7168	7168																																																																																																																																
[Mặt Nạ] Mỹ Nữ		1	1	13	125	1	\image\item\equip\mask\mianju_putong.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			2	0	mask	0	0		7169	7169																																																																																																																																
[Mặt Nạ] Thần Tài		1	1	13	126	1	\image\item\equip\mask\mianju_putong.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			2	0	mask	0	0		7245	7245																																																																																																																																
[Mặt Nạ] Táo Quân (Đỏ)		1	1	13	127	1	\image\item\equip\mask\mianju_putong.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			2	0	mask	0	0		7246	7246																																																																																																																																
[Mặt Nạ] Táo Quân (Lam)		1	1	13	128	1	\image\item\equip\mask\mianju_putong.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			2	0	mask	0	0		7247	7247																																																																																																																																
[Mặt Nạ] Táo Quân (Vàng)		1	1	13	129	1	\image\item\equip\mask\mianju_putong.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			2	0	mask	0	0		7248	7248																																																																																																																																
[Mặt Nạ] Thổ Địa		1	1	13	130	1	\image\item\equip\mask\mianju_putong.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			2	0	mask	0	0		7284	7284																																																																																																																																
[Mặt Nạ] Thiếu nữ		1	1	13	131	1	\image\item\equip\mask\mianju_putong.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			2	0	mask	0	0		7285	7285																																																																																																																																
[Mặt Nạ] Thạch Phá Thiên		1	1	13	132	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			2	0	mask	0	0		7162	7162																																																																																																																																
[Mặt Nạ] Hạ Lạc Dao		1	1	13	133	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			2	0	mask	0	0		7123	7123																																																																																																																																
[Mặt Nạ] Nguyệt Nguyệt Tỷ		1	1	13	134	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		7109	7109																																																																																																																																
[Mặt Nạ] Thần Tài Ca		1	1	13	135	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		7245	7245																																																																																																																																
[Mặt Nạ] Khương Lão Gia		1	1	13	136	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		7291	7291																																																																																																																																
[Mặt Nạ] Kim Mao Sư Vương		1	1	13	137	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		7292	7292					damage_all_resist	5	5					lifemax_v	300	300	-1	-1	0	0																																																																																																														
[Mặt Nạ] Tây Độc Âu Dương Phong		1	1	13	138	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		7293	7293					damage_all_resist	5	5					manamax_v	300	300	-1	-1	0	0																																																																																																														
[Mặt Nạ] Triều Hạ Ánh Tuyết		1	1	13	139	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			2	0	mask	0	0		7160	7160																																																																																																																																
[Mặt Nạ] Đường Bá Hổ		1	1	13	140	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			2	0	mask	0	0		6713	6713																																																																																																																																
[Mặt Nạ] Thu Hương		1	1	13	141	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			2	0	mask	0	0		6714	6714																																																																																																																																
[Mặt Nạ] Wodekapu		1	1	13	142	1	\image\item\other\scriptitem\Fifa_jixiangwu_s.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			2	0	mask	0	0		6715	6715																																																																																																																																
[Mặt Nạ] Thần Tài		1	1	13	143	1	\image\item\equip\mask\mianju_putong.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			2	0	mask	0	0		7245	7245																																																																																																																																
[Mặt Nạ] Tần Thủy Hoàng		1	1	13	144	1	\image\item\equip\mask\mianju_putong.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			2	0	mask	0	0		2450	2450																																																																																																																																
[Mặt Nạ] Đậu Hạo		1	1	13	145	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			2	0	mask	0	0		6709	6709																																																																																																																																
[Mặt Nạ] Khuynh Thế		1	1	13	146	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			2	0	mask	0	0		6710	6710																																																																																																																																
[Mặt Nạ] Nhu Tiểu Thúy		1	1	13	20000	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		7109	7109					damage_fire_resist	50	50																																																																																																																									
[Mặt Nạ] Nhu Tiểu Thúy		1	1	13	20001	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		7109	7109					damage_fire_resist	50	50					lifemax_v	300	300	-1	-1	0	0																																																																																																														
[Mặt Nạ] Nhu Tiểu Thúy		1	1	13	20002	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		7109	7109					damage_fire_resist	50	50					manamax_v	300	300	-1	-1	0	0																																																																																																														
[Mặt Nạ] Nhu Tiểu Thúy		1	1	13	20003	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		7109	7109					damage_fire_resist	50	50					state_burn_resisttime	20	20	-1	-1	0	0																																																																																																														
[Mặt Nạ] Trương Thiện Đức		1	1	13	20004	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		7110	7110					damage_physics_resist	50	50																																																																																																																									
[Mặt Nạ] Trương Thiện Đức		1	1	13	20005	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		7110	7110					damage_physics_resist	50	50					lifemax_v	300	300	-1	-1	0	0																																																																																																														
[Mặt Nạ] Trương Thiện Đức		1	1	13	20006	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		7110	7110					damage_physics_resist	50	50					manamax_v	300	300	-1	-1	0	0																																																																																																														
[Mặt Nạ] Trương Thiện Đức		1	1	13	20007	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		7110	7110					damage_physics_resist	50	50					state_hurt_resisttime	20	20	-1	-1	0	0																																																																																																														
[Mặt Nạ] Cổ Dật Sơn		1	1	13	20008	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		7111	7111					damage_light_resist	50	50																																																																																																																									
[Mặt Nạ] Cổ Dật Sơn		1	1	13	20009	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		7111	7111					damage_light_resist	50	50					lifemax_v	300	300	-1	-1	0	0																																																																																																														
[Mặt Nạ] Cổ Dật Sơn		1	1	13	20010	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		7111	7111					damage_light_resist	50	50					manamax_v	300	300	-1	-1	0	0																																																																																																														
[Mặt Nạ] Cổ Dật Sơn		1	1	13	20011	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		7111	7111					damage_light_resist	50	50					state_weak_resisttime	20	20	-1	-1	0	0																																																																																																														
[Mặt Nạ] Ô Sơn Thanh		1	1	13	20012	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		7112	7112					damage_cold_resist	50	50																																																																																																																									
[Mặt Nạ] Ô Sơn Thanh		1	1	13	20013	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		7112	7112					damage_cold_resist	50	50					lifemax_v	300	300	-1	-1	0	0																																																																																																														
[Mặt Nạ] Ô Sơn Thanh		1	1	13	20014	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		7112	7112					damage_cold_resist	50	50					manamax_v	300	300	-1	-1	0	0																																																																																																														
[Mặt Nạ] Ô Sơn Thanh		1	1	13	20015	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		7112	7112					damage_cold_resist	50	50					state_stun_resisttime	20	20	-1	-1	0	0																																																																																																														
[Mặt Nạ] Trân Vô Mệnh		1	1	13	20016	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		7113	7113					damage_poison_resist	50	50																																																																																																																									
[Mặt Nạ] Trân Vô Mệnh		1	1	13	20017	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		7113	7113					damage_poison_resist	50	50					lifemax_v	300	300	-1	-1	0	0																																																																																																														
[Mặt Nạ] Trân Vô Mệnh		1	1	13	20018	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		7113	7113					damage_poison_resist	50	50					manamax_v	300	300	-1	-1	0	0																																																																																																														
[Mặt Nạ] Trân Vô Mệnh		1	1	13	20019	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		7113	7113					damage_poison_resist	50	50					state_slowall_resisttime	20	20	-1	-1	0	0																																																																																																														
[Mặt Nạ] Kim Mao Sư Vương		1	1	13	20020	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		7292	7292					damage_all_resist	5	5																																																																																																																									
[Mặt Nạ] Kim Mao Sư Vương		1	1	13	20021	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		7292	7292					damage_all_resist	5	5					lifemax_v	300	300	-1	-1	0	0																																																																																																														
[Mặt Nạ] Kim Mao Sư Vương		1	1	13	20022	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		7292	7292					damage_all_resist	5	5					ignoredefenseenhance_v	50	50	-1	-1	0	0																																																																																																														
[Mặt Nạ] Kim Mao Sư Vương		1	1	13	20023	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		7292	7292					damage_all_resist	5	5					allspecialstateresisttime	10	10	-1	-1	0	0																																																																																																														
[Mặt Nạ] Tây Độc Âu Dương Phong		1	1	13	20024	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		7293	7293					damage_all_resist	5	5																																																																																																																									
[Mặt Nạ] Tây Độc Âu Dương Phong		1	1	13	20025	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		7293	7293					damage_all_resist	5	5					manamax_v	300	300	-1	-1	0	0																																																																																																														
[Mặt Nạ] Tây Độc Âu Dương Phong		1	1	13	20026	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		7293	7293					damage_all_resist	5	5					deadlystrikeenhance_r	25	25	-1	-1	0	0																																																																																																														
[Mặt Nạ] Tây Độc Âu Dương Phong		1	1	13	20027	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		7293	7293					damage_all_resist	5	5					allspecialstateresistrate	10	10	-1	-1	0	0																																																																																																														
[Mặt Nạ] Tần Thủy Hoàng		1	1	13	20028	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		2450	2450					damage_all_resist	5	5																																																																																																																									
[Mặt Nạ] Tần Thủy Hoàng		1	1	13	20029	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		2450	2450					damage_all_resist	5	5					fastmanareplenish_v	25	25	-1	-1	0	0																																																																																																														
[Mặt Nạ] Tần Thủy Hoàng		1	1	13	20030	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		2450	2450					damage_all_resist	5	5					stealmana_p	4%	4%	100	100	0	0																																																																																																														
[Mặt Nạ] Tần Thủy Hoàng		1	1	13	20031	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		2450	2450					damage_all_resist	5	5					meleedamagereturn_p	5%	5%	-1	-1	0	0																																																																																																														
[Mặt Nạ] Thổ Địa		1	1	13	20032	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		7284	7284					damage_all_resist	5	5																																																																																																																									
[Mặt Nạ] Thổ Địa		1	1	13	20033	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		7284	7284					damage_all_resist	5	5					fastlifereplenish_v	25	25	-1	-1	0	0																																																																																																														
[Mặt Nạ] Thổ Địa		1	1	13	20034	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		7284	7284					damage_all_resist	5	5					fastwalkrun_p	10%	10%	-1	-1	0	0																																																																																																														
[Mặt Nạ] Thổ Địa		1	1	13	20035	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		7284	7284					damage_all_resist	5	5					rangedamagereturn_p	5%	5%	-1	-1	0	0																																																																																																														
[Mặt Nạ] Tần Thủy Hoàng		1	1	13	147	1	\image\item\other\scriptitem\qinling_mask.spr		35			0	0	200000000			2	1	mask	0	0		-1	-1					allskill_v	2	2	1	1			expenhance_p	10	10					allskill_v	1	1			1998	1998	lifemax_p	20	20					damage_all_resist	100	100					lifemax_v	1000	1000	-1	-1	0	0	defencedeadlystrikedamagetrim	15	15	-1	-1	0	0	weaponbasedamagetrim	200	200					deadlystrikedamageenhance_p	5	5																																																																	
[Mặt Nạ] Tần Thủy Hoàng		1	1	13	147	2	\image\item\other\scriptitem\qinling_mask.spr		35			0	0	250000000			2	1	mask	0	0		-1	-1					allskill_v	2	2	1	1			expenhance_p	20	20					allskill_v	1	1			1998	1998	lifemax_p	25	25					damage_all_resist	110	110					lifemax_v	1500	1500	-1	-1	0	0	defencedeadlystrikedamagetrim	20	20	-1	-1	0	0	weaponbasedamagetrim	250	250					deadlystrikedamageenhance_p	10	10																																																																	
[Mặt Nạ] Tần Thủy Hoàng		1	1	13	147	3	\image\item\other\scriptitem\qinling_mask.spr		35			0	0	350000000			2	1	mask	0	0		-1	-1					allskill_v	2	2	1	1			expenhance_p	30	30					allskill_v	1	1			1998	1998	lifemax_p	30	30					damage_all_resist	120	120					lifemax_v	2000	2000	-1	-1	0	0	defencedeadlystrikedamagetrim	25	25	-1	-1	0	0	weaponbasedamagetrim	300	300					deadlystrikedamageenhance_p	15	15																																																																	
