QID	SHOWFLAG	QUESTION	ANSWER	SELECT1	SELECT2	SELECT3
175	1	Ở nơi nào khả dĩ mua từ bi tâm kinh 	Kỳ trân các 	Dược điếm 	Tạp hoá điếm	
176	1	Trước mặt đang ở ngồi tù đích ngoạn gia, khả dĩ sử dụng cái gì đạo cụ ly khai đại lao? 	Hình bộ lệnh bài 	Từ bi tâm kinh 	Triều đình chiếu thư	
177	1	Lôi đài cho phép đích báo danh song phương nhân số thị nhiều ít? 	1V1——6V6 đích đối chiến 	1V1——8V8 đích đối chiến 	1V1——10V10 đích đối chiến	
178	1	60-89 cấp ngoạn gia khả dĩ tham gia người nào chiến trường? 	Dương Châu chiến trường 	Phượng bay liệng chiến trường 	Tương Dương chiến trường	
179	1	90-119 cấp ngoạn gia khả dĩ tham gia người nào chiến trường? 	Phượng bay liệng chiến trường 	Dương Châu chiến trường 	Tương Dương chiến trường	
180	1	120 cấp hòa 120 cấp đã ngoài đích ngoạn gia khả dĩ tham gia người nào chiến trường? 	Tương Dương chiến trường 	Phượng bay liệng chiến trường 	Dương Châu chiến trường	
181	1	Song phương chí ít các hữu bao nhiêu người tài năng mở ra Dương Châu chiến trường? 	6 nhân 	8 nhân 	12 nhân	
182	1	Song phương chí ít các hữu bao nhiêu người tài năng mở ra phượng bay liệng chiến trường? 	8 nhân 	6 nhân 	12 nhân	
183	1	Song phương chí ít các hữu bao nhiêu người tài năng mở ra Tương Dương chiến trường? 	12 nhân 	6 nhân 	8 nhân	
184	1	Tống kim chiến trường đích giết chóc hình thức, căn cứ cái gì phán định thắng bại? 	Song phương đều tự đích tổng vi tích phân 	Song phương đều tự đích sát nhân sổ 	Song phương đều tự đích hộ kỳ thành công số lượng	
185	1	Tống kim chiến trường đích hộ kỳ hình thức, căn cứ cái gì phán định thắng bại? 	Song phương đều tự đích hộ kỳ thành công số lượng 	Song phương đều tự đích tổng vi tích phân 	Song phương đều tự đích sát nhân sổ	
186	1	Tống kim chiến trường đích hộ kỳ hình thức, đương song phương hộ kỳ số lượng tương đồng thì, căn cứ cái gì phán định thắng bại? 	Song phương đều tự đích tổng vi tích phân 	Song phương đều tự đích sát nhân sổ 	Song phương đều tự đích thặng dư nhân số	
187	1	Tống kim chiến trường đích nguyên soái hộ vệ hình thức trung, dưới đây thuyết pháp bất chính xác thực chính là? 	Bản phương nhân số ít vu 50 đại tướng xuất hiện 	Bản phương sở hữu NPC đại tướng toàn bộ bị chém giết, nguyên soái xuất hiện 	Chiến đấu kết thúc tiền 20 phút, nguyên soái xuất hiện	
188	1	Tiêu dao cốc lý đích hạ tiểu thiến đích danh hiệu là cái gì? 	Nhu nhược đích thiếu nữ 	Ham chơi đích tiểu cô nương 	Ái mạo hiểm đích tiểu thư	
189	1	Tống kim chiến trường trung, án cái gì kiện khả dĩ kiểm tra chiến báo? 	~ kiện 	Tab kiện 	Shift kiện	
190	1	Ở đâu một NPC chỗ khả dĩ dùng chiến trường vi tích phân đổi lấy kinh nghiệm thưởng cho? 	Chiến trường báo danh điểm đích quân nhu quan 	Tống kim chiêu mộ sử 	Nha dịch	
191	1	Chiến trường danh vọng thị dựa theo cái gì tiêu chuẩn thưởng cho đích? 	Căn cứ mỗi tràng chiến cuộc đích cuối bài danh thưởng cho ngoạn gia 	Căn cứ tham gia tống kim chiến trường đích số lần thưởng cho ngoạn gia 	Căn cứ tại tuyến thời gian thưởng cho ngoạn gia	
192	1	Chiến trường vi tích phân có ích lợi gì? 	Khả dĩ đổi lấy kinh nghiệm thưởng cho 	Khả dĩ đổi lấy chiến trường danh vọng 	Khả dĩ đổi lấy kiếm hiệp tệ	
193	1	Chiến trường danh vọng khả dĩ tích lũy sao? 	Khả dĩ 	Không thể 	Một vòng nội khả dĩ tích lũy	
194	1	Chiến trường danh vọng chia làm vài loại? 	3 loại 	4 loại 	5 loại	
195	1	Nhiều ít cấp đích ngoạn gia khả dĩ thu đồ đệ đệ? 	Không thua kém 69 cấp 	Không thua kém 60 cấp 	Không thua kém 70 cấp	
196	1	Mỗi người song song tối đa khả dĩ chính mình nhiều ít vị xuất sư đích đồ đệ? 	3 một 	5 một 	8 một	
197	1	Mỗi người khả dĩ song song bái nhiều ít một ngoạn gia sư phụ? 	1 một 	2 một 	3 một	
198	1	Nhiều ít cấp mới có thể bái sư? 	Lớn hơn 20 cấp thả nhỏ 50 cấp 	Lớn hơn 20 cấp thả nhỏ 69 cấp 	Không có hạn chế	
199	1	Xuất sư đích điều kiện là cái gì? 	Đệ tử đẳng cấp đạt được 69 cấp thả vu sư phụ thân mật độ vượt lên trước 3 cấp 	Đệ tử đẳng cấp đạt được 60 cấp thả vu sư phụ thân mật độ vượt lên trước 3 cấp 	Đệ tử đẳng cấp đạt được 60 cấp thả vu sư phụ thân mật độ vượt lên trước 4 cấp	
200	1	Nhiều ít cấp đích ngoạn gia khả dĩ thể nghiệm bạch hổ đường hoạt động? 	50 cấp đã ngoài 	70 cấp đã ngoài 	100 cấp đã ngoài	
201	1	Mỗi người mỗi ngày tối đa khả dĩ tham gia nhiều ít thứ bạch hổ đường hoạt động? 	3 thứ 	1 thứ 	2 thứ	
202	1	Sai đố đèn hoạt động đích hoa đăng gặp phải ở đâu ta địa đồ? 	8 một tay mới thôn 	7 một thành thị 	Các môn phái	
203	1	Sai đố đèn hoạt động ở đâu một NPC chỗ lĩnh thưởng cho? 	Lễ quan 	Bạch thu lâm 	Nhan như ngọc	
204	1	Kim tệ giao dịch đích thủ tục phí do ai tiền trả? 	Người bán 	Mãi phương 	Hệ thống	
205	1	Kim tệ giao dịch đích thủ tục phí thị nhiều ít? 	Giao dịch tổng ngạch đích 1%	100 kiếm hiệp tệ 	Giao dịch tổng ngạch đích 10%	
206	1	Mỗi người tại kim tệ nơi giao dịch tối đa song song sáng tạo nhiều ít giao dịch đan? 	1 một 	2 một 	3 một	
207	1	Mỗi người mỗi chu khả dĩ giao dịch thu được đích miễn thuế kiếm hiệp tệ thị nhiều ít? 	Dữ tỉ suất hối đoái tương quan 	100 vạn lượng 	1000 vạn lượng	
208	1	Hạ tiểu thiến dưỡng liễu kỷ chích thỏ? 	6 chích 	3 chích 	9 chích	
209	1	Tiêu dao cốc lý hữu một am hiểu chế tạo bộ phận then chốt thú đích nhân, xin hỏi hắn tên gọi là gì? 	Hồ khôn 	Hồ côn 	Hồ côn	
210	1	Dưới câu nào điều không phải hạ tiểu thiến đích thiền ngoài miệng? 	Kỳ thực ngươi lớn lên cũng không động địa. 	Các ngươi làm tức giận ta liễu! 	Ta cấp đại gia xướng thủ ca ba.	
211	1	Dưới na kiện điều không phải hoàng phỉ yếu đích bảo vật 	Tiên linh mộc 	Thất màu tiên đan 	Linh thú chiến giày 	Độn giáp bùa
212	1	Dưới câu nào thị mặc quân đích thiền ngoài miệng? 	Thành thật mà nói, ngươi nội lực cũng không sâu như thế nào hậu ma. 	Năng lẫn mất điệu nói tựu đóa đóa xem đi! Oa ha ha ha... 	Có đôi khi, cũng sẽ trở về chỗ cũ một chút tẩy điểm tiền đích sinh hoạt	
213	1	Tiểu lộ đích lão công tên gọi là gì? 	Nhâm miểu 	Nhâm sâm 	Nhâm hâm 	Nhâm diễm
214	1	Tiêu dao cốc lý na lưỡng chủng danh hiệu đích quái đích kỹ năng hiệu quả như nhau? 	Cuồng nộ gia trì hòa "Nọc độc phụt lên" 	Dịch cốt đoạn cân hòa "Co dãn cơ hoàng" 	Kim cương bất hoại hòa "Chuông vàng chiếm được "	
215	1	Tử uyển hòa hồ khôn đích quan hệ thị? 	Thầy trò 	Phu thê 	Sư huynh muội	
216	1	Tần trọng hòa tử uyển đích quan hệ thị? 	Sư huynh muội 	Phu thê 	Thầy trò	
217	1	Cầu phúc kỳ ra năm "Mộc" thu được đích xưng hào thị? 	Thiên hạ vô song 	Độc cô cầu bại 	Vận may vào đầu	
218	1	Cầu phúc kỳ ra năm "Kim" thu được đích xưng hào thị? 	Độc cô cầu bại 	Hồng trần nhâm tiêu dao 	Hồng phúc tề thiên	
219	1	Dưới người nào điều không phải cầu phúc kỳ ra bốn người "Kim" thu được đích xưng hào? 	Thiên hạ ai không nhìn được quân 	Thiên nhai vị hoàn ánh tà dương tàn 	Nâng chén trăng rằm cường mỉm cười	
220	1	Tòng thùy trên người khả dĩ thu được sừng tê giác quáng lệnh bài? 	Trông coi 	Làm việc cực nhọc 	Trông coi đầu lĩnh	
221	1	Dưới người nào điều không phải liễu rộng rãi đích danh hiệu? 	Tinh luyện kim loại đại sư 	Gia công đại sư 	Chế tạo đại sư 	Dược thương
222	1	Hoàng phỉ vì sao vào không được tiêu dao cốc? 	Nhân thiếu 	Bị thương 	Sẽ không võ công	
223	1	Hoàng phỉ cầm trong tay chính là vật gì? 	Cây quạt 	Kiếm 	Đao 	Thương
224	1	Đoán một cái triệu khản nhiều liễu? 	70 tuế 	30 tuế 	10 tuế	
225	1	Tiêu dao cốc lý có vị ái mạo hiểm đích tiểu thư, tha tên gọi là gì? 	Hiểu phỉ 	Tiểu lộ 	Thúy tiểu âu	
226	1	Dưới người nào điều không phải cầu phúc kỳ ra năm "Thủy" thu được đích xưng hào? 	Vị y nhân, tại thủy nhất phương 	Tuyệt đại phương hoa 	Phong như nhau đích nam tử	
227	1	Dưới người nào thị cầu phúc kỳ ra năm "Hỏa" thu được đích xưng hào? 	Giang hồ tối hậu một vị hiệp khách 	Rượu đoạn trường tha hương lộ tỉnh 	Bất tiện uyên ương bất tiện tiên	
228	1	Dưới người nào thị cầu phúc kỳ ra năm "Thổ" thu được đích xưng hào? 	Thiên chi kiều nữ 	Giang hồ tối hậu một vị hiệp nữ 	Tuyệt đại phương hoa	
229	1	Biện kinh phủ bao vạn đồng phía sau đích tấm bia đá thượng viết chính là cái gì? 	Quốc thái dân an 	Mưa thuận gió hoà 	Đưa ta non sông	
230	1	Vân trung trấn đích diệp chỉ lâm tại cái gì vị trí? 	Bờ sông 	Rừng trúc 	Trong viện	
231	1	Long tuyền thôn đích trương tiếng thông reo trong viện na loại động vật da tối đa? 	Hổ da 	Hùng da 	Da sói	
232	1	Đại kim long mạch phong thuỷ đồ tại thùy trên người? 	Hoàn nhan lượng 	Hoàn nhan tương 	Hoàn nhan hồng liệt	
233	1	Hải Lăng vương mộ trung đích bụi gai rừng rậm nếu như không cẩn thận đụng tới gặp phải cái gì hiệu quả? 	Trở lại doanh địa 	Mê muội 	Vô hiệu quả	
234	1	Hải Lăng vương mộ trung đích hoàng kim trong bảo khố tương tối cao khả dĩ khai ra kỷ cấp huyền tinh? 	9 cấp 	8 cấp 	7 cấp 	6 cấp
235	1	Hải Lăng vương mộ trung hoàn nhan không phá đích xưng hào là cái gì? 	Kim quốc đệ nhất đao khách 	Kim quốc đệ nhất 1.kiếm khách 	Kim quốc đệ nhất thích khách	
236	1	Bách man sơn vì sao yếu khua chiêng gõ trống? 	Dẫn quái 	Chúc mừng ngày lễ 	Buồn chán	
237	1	Cổ vương sẽ không dịch dung thành thùy? 	Dương quyết tâm 	Bạch thu lâm 	Đoạn trí hưng	
238	1	Bách man sơn ẩn dấu trạm kiểm soát thủ lĩnh là ai? 	Hỏa bồng xuân 	Nhị nha 	Trong bảo khố trái cây	
239	1	Phục ngưu sơn quân doanh đích nội dung vở kịch nhiệm vụ sẽ không thưởng cho? 	Huyền tinh bảo thạch 	Giang hồ uy vọng 	Hồn thạch	
240	1	Phục ngưu sơn quân doanh đích báo danh thời gian vi? 	Chỉnh điểm báo danh 	Nửa điểm báo danh 	Tùy thời khả dĩ tiến nhập	
241	1	Dưới đây cái kia phương thức khả dĩ đề thăng phục ngưu sơn quân doanh danh vọng? 	Quân doanh tiếp tế tiếp viện bao 	Tác hằng ngày nhiệm vụ 	Độc bộ phận then chốt thư	
242	1	Phục ngưu sơn quân doanh danh vọng cao nhất đẳng cấp vi? 	7 cấp 	6 cấp 	8 cấp	
243	1	Phục ngưu sơn quân doanh đạt được tối cao đẳng cấp hậu khả dĩ mua? 	24 cách ba lô 	28 cách ba lô 	22 cách ba lô	
244	1	Bộ phận then chốt bền độ bất năng đổi đáo cái kia vật phẩm? 	Huyền tinh bảo thạch 	Thục thịt bò 	Các loại mặt nạ	
245	1	Làm sao tiến nhập phục ngưu sơn quân doanh? 	Tay mới thôn quân doanh truyền tống quan hoặc truyền tống phù 	Chạy bộ tiến nhập 	Hoa môn phái tiếp dẫn đệ tử truyền tống	
246	1	Lô tất khắc hòa tất tái ngộ là cái gì quan hệ? 	Chiến hữu 	Thân thích 	Đồng hương	
247	1	Phục ngưu sơn quân doanh phó bản đích báo danh thời gian vi? 	Chỉnh điểm qua đi đích 10 phút nội 	Chỉnh điểm qua đi đích 15 phút nội 	Chỉnh điểm qua đi đích 5 phút nội	
248	1	Trong quân doanh phụ trách cho vay quân lương chính là vị ấy? 	Từ tường nga 	Bao vạn đồng 	Lô tất khắc	
249	1	Ở đâu vị vai trên người khả dĩ lĩnh Hải Lăng vương mộ nội dung vở kịch nhiệm vụ? 	Thần tiêu 	Lô tất khắc 	Long ngũ ông	
250	1	Một hồi quân doanh phó bản quy định đích thời gian vi? 	90 phút 	100 phút 	80 phút	
