jxAccount	jsAccDatabase	jsAccount	nAccValG	nAccValS	jxServerGroup
ggdd0028	4	zds202076	112515	442	11
ggyy5135	1	chx.002	101930	767	241
gh671206	1	osaka671299	410850	335	11
ghl1987	2	83016742	440958	384	241
ghning2	1	13929922847	84441	631	41
ghosteyeso	4	zy44779	135954	46	41
ghsh51118	5	HXW349469679	329531	190	31
gingerlin	4	browsliang0003	413461	357	241
gk_0000	2	hjc_9999	52335	1338	31
gkh841010	2	hz870328	278107	990	31
glb_ly	2	sunlijie_5@hotmail.com	163306	1500	12
go123456go	5	yiyang.19@126.com	153202	952	41
goldenwolf3	1	goldenwolf3	302573	175	241
golfball	4	chq272493125	427453	1684	241
gongyan5258	2	c258096096	126786	526	31
gongyu_2002	3	gongyu_0813	258840	1429	31
goodbye0874	1	wdandan1975	122480	791	11
goodtank007	4	goodtank0008	155210	2263	41
goooo8	1	goooo5	233644	1107	11
greenxuchao	6	luozonghai_01	936485	424	241
gtlxiao	1	yqm1010	259557	1439	12
gtzyjcgd121	3	cd100608572	365790	572	41
guangtai83823012	4	wstitiger09	149518	8871	12
guduxingzcn	1	zhuchengnian@163.com	364720	807	41
guiweirensheng	1	mengzhongyouqing	147615	1109	41
guohu8849	2	1s1siyouxi	330014	51	31
guojuan1819	1	guojuan1819	146957	7307	11
guopin1232	1	guopin3366	2099358	3174	241
guoxiaorong1210	1	guoying20051009	1093203	328	241
guoyunsheng19708	3	guoyunsheng66777	108451	732	241
gwf4200	3	gwf0909	122684	989	12
gxp1111	6	xiaoxiao_1223	323150	1562	11
gxtwt111	2	gxtwt111	99071	2742	31
gxxk063537	1	huanghua0523	162975	6706	241
gxxk063546	1	hh3594	287922	9827	241
gxy1967	1	gxy6576432	768781	18167	12
gxy1967a	1	gxy6576432a	276677	1431	12
gylchaojiwudi	6	ccbzhangyang1	256674	1978	12
gzhhjh	1	3419341900	86116	109	41
gzsyl991212	1	gzsyl0002	221139	1223	41
gzy333zj	1	zjjty	74250	1508	12
gzyg123	5	gzy@163	230209	2334	181
gzyg1234	5	dxy@163	83196	1156	181
h45678	1	woneng123456789	111174	411	41
haha1689	2	fei45027725	78676	57	31
haidike2006	5	mashiqi9988	511885	541	31
haierqwee	1	wwx2009002	88862	1383	12
hailai2305	1	uhhghgtttttt	181332	393	41
hailai3307	1	805399127	94939	297	11
haisiren	1	zs_haisiren	163906	55	11
haixibaobao	4	yang_j@263.net	827376	12524	241
haiyangyumaifen	4	xuhaifeng315	193803	1092	12
hanbaige	3	68137078	278713	191	12
handali0000	1	13894955640	246571	1800	41
hanhan3307	1	xinyue6668	219768	794	41
hanyi101745	1	zy315163956	154463	1376	41
haobaobao21	2	6607710dang6	68693	142	31
haoxiangku	3	xinhe267	80315	800	11
happyhappy123	5	duoduosharen007	493758	163	181
happyhong110	3	dengkeyong2004	533465	1517	241
happymmx	4	leemar80	737478	1510	41
hbgazhouwen	2	366625255616	68527	405	241
hbljx2005	5	hbljs2009	325376	3047	31
hbydcwb50	4	hbydcwb50	103530	977	241
hcchmily1314	1	hcchmily1314	165128	28	11
hcjrr111	4	yeke88903973	71000	213	11
hcz_2003	4	huang21st286	1460282	1558	12
he103035708	2	helichuan1977	466512	7500	12
he19840503	1	silaoshuyoudu	253969	1363	11
hebin312	3	159276618	210220	164	41
hedaquan18	4	hedaquan21	92720	83	12
hedy987	6	hedy988	257044	265	241
hefuqiang_2003	6	zhangpeng_19681213	134560	12616	41
hejing520	6	liqing040	147594	120	41
heliguo2005	1	jinzhizhu005	174092	445	41
henjingabcd	1	henjingabcd	254469	689	241
henjingabcde	1	henjingabcde	198820	622	241
hero_000	5	fzduyao	142044	591	41
hfb112	4	hfb112	234967	67	41
hfwjd1984	1	hfwjd2019	244650	86	11
hg08150013	3	dulanjun2009	112702	393	241
hghawwj	4	hawwj1	76640	715	41
hh_yang	1	yhh7788	351965	1996	12
hhchenchen	1	hhchenchen456	330777	2892	41
hhl807430576	2	gj25543071	84839	524	31
hhxfangyong	6	hhxfangyong	233386	765	41
hhy7657	1	ioiowmc811	234593	216	11
hhyyii	6	fushixian	176353	791	12
hitman9662	1	ksgw0014239	164697	704	11
hjffeng7904	2	15945033737	1325599	200	31
hjm19770201	1	23k57	160477	2515	11
hl5188	1	chenqunxing07	258301	395	11
hl_wbh	2	hl_wbh15	672994	0	31
hlj_fy_ft	2	hlj_ft_0506	996190	194	31
hlk0209	1	hulikang@sina.com	263949	1472	41
hm820921	2	yaomei19760907c	304877	702	31
hnaydyc	1	hnaydyc1970	169173	1772	31
hnics2299039	1	hnics2299039	116364	447	41
hnlyjl123	2	wyc0798888	521002	10416	31
hnsp123a	1	hnsp01	399176	2577	241
hnsp123c	1	hnsp02	144174	1578	241
honghuanglui	2	zhbtianxie	255069	1444	181
hongxusoe	1	pauleoxia7	107052	1712	41
hongzeng	1	hongzeng111	952325	5292	241
houjihongg	2	lanym1	213197	219	31
houwei01	1	KSFS0173315	210896	292	11
hqr123456	1	anhai362264	156776	498	11
hqr654321	1	anhai362262	84458	493	11
hrhrgift	1	lm.8b_051656	128461	722	12
hry2005	1	huangruyan2013	151481	225	11
hskhsk	1	hlk0209	201839	1292	41
hszathenaayumi	4	zhongqingshuaige	253083	6753	41
htwzxp	1	ywwszt	146153	659	12
hua04172979	1	18605125	192685	451	241
huabingbin	2	huabingbin1	205509	2291	31
huahaxin	3	q88456828	220608	504	12
huaimin003	1	abop5711	222488	1026	241
huamao731023	1	hua.tao2000@163.com	1290144	27200	41
huang19850717	1	huanghai_xinyu163.com	79680	292	41
huang2mao	6	wulinzhizhun009	189619	268	41
huang5023	3	bee2222	161444	1499	241
huang763	3	hjh9920	129527	146	41
huanghao12qu	5	huanghaojxjs	248247	1550	31
huanghuaping2008	4	huangzheng_2009	164101	3013	41
huanghuiiverson	1	jun19830123	216974	538	11
huanghuiiverson1	1	jinhui19830203	222869	703	11
huangxiang7722	1	huangxiang7722	175131	2211	12
huangyanping919	4	qqzhuangshihong	275274	598	41
huanhuangezi	4	zds202065	95514	353	11
huayun12345	4	luligo8	121295	152	41
hubaozeng_77	5	hubaozeng_001	131871	571	31
huduo1987id	4	buxiaodeshuo	68872	466	11
huicai13	1	sonny8307	188907	95	11
huiwen5208	3	huiwen__vip	127813	215	241
huqiancheng123	1	huqiancheng456	136751	1563	241
hush_314	1	hush01410914	161427	154	41
huxiaowei1123	6	naishi13	172024	464	12
huyoubb	6	huyoubb	76510	1252	11
huyz2008	4	zy123331	99613	380	11
hwc5211	2	xll9411	313092	579	12
hwef6gkr	2	jianxia_604	130083	128	31
hx3211863	1	hxy3211863123	159301	2781	41
hx4489757	4	hdp2538881	266964	252	11
hxh19820325	1	gznssfjxhs02	210615	2783	11
hxh780715123	1	gdhy780715122	1108747	194	11
hxingjack1	1	276886778	161279	252	11
hxp829655	2	lingning008	286282	1085	31
hxy0704	1	104011648hxy0704	470387	2250	11
hxy12345	1	lihaighx	500243	606	11
hxz45456	4	hxz45451	103639	3410	241
hy6107887	2	leizhonghua888	114850	206	31
hy7825904	1	FJH99887766	1141001	3992	11
hyabcdd	1	zjdada	169718	2249	12
hyzhyryxl	1	hyzhyryxl	163119	61	41
hzh5168	1	gdm5168	255188	1450	41
hznixiaoping	1	conquer801114	187015	87	12
hzxjcen	1	rockyhua4	131567	1472	11
hzy3205645	2	ldmlllxy	499376	6597	31
hzycy2110	1	uhhghgttttt	150026	387	11
iamhuangxp	1	iamhuangxp899	273125	8239	41
icbc202363	1	tianan9999icbc3	460205	1478	241
ilovejxyjy	3	08333282795	201105	668	12
ilovelynlyn	2	xiaohuzi0321	246739	312	31
inter1889	1	lidongfeng131421	458871	954	12
inter518	1	8865292	127316	1028	12
inter5188	1	inter5199	95796	927	12
ioive665	3	ioiveooo	262488	111	241
iqiqiwe	1	geansheng1986	1950975	0	12
ironjian	3	yjyd20	2138108	3065	241
itolove	1	itolove@qq.com	76603	581	41
ja0298498	3	309479500	146256	864	41
jack0711	1	jack7113	250200	791	241
jacmore10	1	hsn713	164293	340	12
jammefan	6	jammefan	113433	374	11
jasminehao	4	jasminehao2009	708744	9777	12
jdzou6326	1	jdzou6326	284281	0	12
jdzou6805	1	jdzou632625	179917	1500	12
jenboy	1	kingjenboy15	141403	13573	41
jenny01	4	laozi30	276373	206	241
jerry520533	4	zds20205	170982	358	41
jessini	4	jessini888	1275067	8359	12
jf100630	1	jf100630	223792	263	41
jhb123	1	hzjhb002	319762	1429	41
jhb333	1	ggjs5a	131088	26724	41
jhycdqs	6	928217407	84119	1175	11
jia19704	1	jia19705	419862	196	241
jiaan800	2	liyidong2011	1032498	2020	181
jiaan888	5	gui_yan006718	154122	0	31
jiahongqian	2	jiahongqian28	121510	1089	12
jian19851103	1	jianwudu4	158446	1266	41
jian3344	1	jian4405277	349025	1483	41
jiangguijun2005	6	jiangguijun200911	635894	2823	12
jianghui6583	1	jianghui6583@163.com	252952	4073	41
jiangshan1asd	1	jiangshanqipengli	254127	4500	241
jiangshanjun2015	6	4329291982	76267	467	241
jiangxiaohui01	1	jiangxiaohui8888	181757	803	41
jiangyanjun86_	4	jyj19880119	265780	257	11
jianjiangfeilong	1	zhanrt4	70206	1106	12
jianxia1228	1	hushh106	122027	1411	41
jianxia9184	4	wujx888999	418477	2463	11
jianxiaye38	1	liuliu258	208981	1952	241
jiaofubao422	2	xm19880806	68912	0	31
jielovexue	6	ccbzhangyang2	268768	945	12
jimeng1980	2	jztxjixiang	203701	1549	31
jin7375063	1	jin7375063	111546	1533	41
jinchaoy	3	13860006027	68356	578	41
jinduanyang8	3	jinduanyang8	421318	2397	241
jingke5305408	3	13565315182	256990	1378	41
jingke53054080	3	35928082	126728	305	41
jingmojian	2	lbs778893210	182888	1277	181
jinhuazhang	2	zhsw1114	193453	556	31
jinjiamao	1	jinjiamao_3	66116	200	41
jinjiaoling10	1	cctv_1973	534430	355	41
jinjing77	3	jin_jing_77	301284	1293	11
jinqiangjinqiang	4	zhangxiancai1359	150212	33016	12
jinwulang07	6	wangyu81686007	247207	1447	11
jinyongxiami119	4	zy996970	86634	335	11
jiokkksu	1	liqingqiao520	213455	557	41
jisutom666	1	8656353	275857	428	12
jj_paopao6662	6	hjy3366	214681	8185	241
jj_paopao6663	6	hjy3399	81624	1619	241
jjjjjzh	4	wjs19770827	329736	7953	41
jjxxtthh19	2	godwang_004	289099	444	31
jk00000000	4	zy75363	307912	1563	12
jmjoahua	1	zhenzhenpo420518	123214	1130	12
jnu4438	1	157891156b	249104	492	41
jobcn2692	1	tianxue666linlin	100098	316	241
john342626	4	John_342626	112964	1314	241
john690606ben	4	John690606Ben	165776	1443	241
jpg123456	1	jpg015	170029	5115	41
jql1000	4	bbc28585	657494	1500	11
jql600	4	cc7754cc	711723	4800	11
js228855	4	jttourism	163010	1174	241
jsanzai2008	4	njcqf4	547678	28	11
jsjx5188	1	wuhuage	103091	256	12
jszb131421	5	373033333	368603	262	31
jszjgw	2	linghongbing152618	422602	986	11
jszjyzmq	4	jszjyzmq	85398	547	12
jtn_1403	6	cjtn_1403	275017	23940	11
jtzbs555	2	sxzxlxs_20080809	168409	750	41
judetian88	1	huangruyan2014	276428	1270	11
juelia	5	juelia152848	159933	1186	31
jun24hxd	4	jun778hxd	306989	852	241
junfeng0505	1	zl820426	260354	783	11
jveqingyangguo	3	wxy19720802	129828	2193	11
jwc_biao	2	jwc_biao	74424	653	31
jwf2008008	1	xin200803	416506	1244	41
jx_apple2	1	601544432@QQ.com	188061	1324	11
jx_jd09695	2	309655970	113697	324	31
jxaa007122	6	23964928	153721	1770	41
jxaa009687	6	hjz36805842	174499	0	41
jxaa010742	4	1980ff	77262	1173	12
jxaa015227	1	zm543426431	117054	1237	241
jxaa015970	5	why3820345	293012	514	31
jxaa017890	5	wangdong270139	62651	252	181
jxaa018507	1	516040492c	1829664	59086	241
jxaa020644	3	327018749	321514	678	41
jxaa021023	2	yl2162085	389139	3135	31
jxaa022754	1	hardtime100	403811	18637	41
jxaa023703	3	83186633	230169	1549	41
jxaa024057	3	lianggang001	558671	215	41
jxaa026661	1	chenglin197505	453417	26715	12
jxaa027120	1	www.comfan.com	52139	375	12
jxaa040044	4	414600196	228738	2770	11
jxaa040949	5	gaiyanxin5134kg	81776	1177	12
jxaa041658	3	960582aa	1230910	14299	41
jxaa048993	4	2222804681	1843988	154551	41
jxaa053441	1	fg1118	805266	2900	12
jxaa054108	2	godwang_003	158443	1126	31
jxaa060063	3	771223lz	541882	2702	41
jxaa065930	1	guangsu@sina.com	156340	169	41
jxaa067314	6	xs65762724	254437	87	41
jxaa067500	1	tanggeng39728432	271108	1987	11
jxaa072984	2	jmj072988	330945	4427	31
jxaa073207	1	zengguangying	334879	59	41
jxaa074802	1	pauleoxia5	180005	1906	41
jxaa075828	2	zc00000088123	137218	701	181
jxaa087005	1	xiang89900863	250467	11873	41
jxaa093171	1	10162325	351266	1314	41
jxaa093204	4	lijiahao337298371	474391	438	41
jxaa095352	3	yangcp555	222708	1191	31
jxaa095752	4	bb095752	309364	6224	12
jxaa096124	1	hardtime200	198227	2833	41
jxaa096406	4	cheng5220	207241	1573	11
jxaa096840	2	lcj87147921	171873	403	31
jxaa097951	2	wangziyiwei533	283317	1570	181
jxaa099211	4	luligo	252977	1325	41
jxaa111021	1	jj202511988	325401	3921	11
jxaa114131	2	mn1118	77279	1298	12
jxaa117314	5	wyf8216119	179674	3258	11
jxaa119570	1	27251052	336208	1476	11
jxaa124206	1	200848_1	374471	1167	41
jxaa125656	4	kelvin_kwok	544898	1515	41
jxaa128846	1	jianshi@5512.com	116646	9204	12
jxaa133334	4	jxaa133334	228414	185	12
jxaa134750	1	kkdn71999	441136	1067	41
jxaa136227	2	cgqpxj10008	208103	1019	31
jxaa137214	1	liuxingshuijing001	483021	1964	11
jxaa140488	1	4459647300	97770	79	241
jxaa140590	1	1140590	249557	300	11
jxaa145079	1	8483340@qq.com	171925	1480	11
jxaa146282	4	jsgg146282	283484	1371	12
jxaa151252	1	uhhghgt	389000	131	11
jxaa151520	1	zjjzjj13974462363	140243	1554	12
jxaa151970	1	xuxu3395588	245338	177	41
jxaa156254	2	4991782	183039	149	31
jxaa156343	1	jxaa156343	131275	715	11
jxaa157077	3	cd6246568	1474780	6200	41
jxaa161677	4	8390284	131729	0	11
jxaa164422	2	LYP03582008	222532	0	31
jxaa165107	1	wwx2009003	75620	2403	12
jxaa169273	1	fhiztr2008	176661	1059	41
jxaa171600	5	jxaa171600	337672	3132	31
jxaa175321	1	a54429783	89119	579	12
jxaa181516	1	kingersty1001	154382	1517	41
jxaa184155	1	redsign400	137444	1562	11
jxaa184565	1	370632797	98197	152	41
jxaa187809	2	vesda	98156	215	31
jxaa189936	1	89561788	2245000	4121	241
jxaa190518	5	lumiao717914818	114656	1109	181
jxaa193446	3	zhangbangdi1991	180113	288	12
jxaa195803	2	ldz5566	239957	2541	31
jxab001198	1	tdtd20093198	266106	53649	12
jxab008182	1	yuqinci@163.com	151823	390	11
jxab010760	2	15905611012	1912640	400	31
jxab015917	6	1040279379	151299	462	41
jxab017032	5	13199499011	1056902	22402	31
jxab018292	5	578763583	356228	3375	31
jxab019617	5	ytj63515889	114544	2330	12
jxab022271	3	syjxsj080916	532428	1480	41
jxab023396	2	78467129	339018	80452	31
jxab027540	4	zy363zy	141058	1363	181
jxab028363	5	xinjianxia028363	175490	501	12
jxab028845	1	aa365980227	994667	0	12
jxae137023	3	zcs088178	339408	2078	41
jxae210283	2	19970817t	862488	937	31
jxaf0013197	2	majun903646	149097	506	31
jxaf0028917	1	ynwsylx@sohu.com	274761	1240	41
jxaf0029911	5	CJAF0029911	206562	873	31
jxaf0152966	5	uyhg1	111369	401	181
jxaf0189514	3	xiaoyuannian1979	146351	361	12
jxaf0238079	3	zhou1234a	156786	51	241
jxaf0388194	1	zheyu11282	225901	439	41
jxaf0450258	2	jxuj667788	990355	5100	31
jxaf0614004	6	jxaf0614004	243485	1499	12
jxaf1150299	2	jsjx2018122	466263	6619	31
jxaf1155242	2	ilovemybabyzhi@yahoo.com.cn	96056	1152	12
jxaf1245857	1	tic.	159942	4583	241
jxaf1309292	1	qldn1987	147522	1447	11
jxaf1313158	2	hnaydyc4@	719140	1627	31
jxaf1358062	2	elamordelmar	57037	930	41
jxaf1381255	1	italyforever@sina.com	97092	519	12
jxaf1390388	2	13898156849	303012	9274	31
jxaf1508824	1	jackio2008	212244	798	11
jxaf1509952	6	87430712	167159	935	241
jxaf1532418	1	15018719043	130261	1101	12
jxaf1546090	2	leisimaozhuanshi006	55003	1073	31
jxaf2044659	5	FC14632235	201161	205	31
jxaf2071203	4	13916774023	85417	402	241
jxaf2183300	4	lotusweety	239948	24345	11
jxaf2430517	2	duniuniu760804	208581	650	31
jxaf2432136	3	960582ae	156062	2730	41
jxaf2437374	2	dxj_001	360444	450	31
jxaf2439165	2	XJBHRNM516	331650	566	11
jxaf2444293	6	loveprince618	64141	351	12
jxaf2446015	1	tiger_hujian5	388218	865	41
jxaf3213698	5	organizer9998	92609	792	31
jxaf3214659	2	gongchengchen0011	148866	648	31
jxaf3225197	6	cjsjtn_1403	308064	30122	41
jxaf3241925	2	ljz1105@126.com	335178	583	31
jxaf3548611	2	w67280	217849	800	181
jxaf3698257	3	zhangxq@fs	233639	54	41
jxaf3741997	1	liyondong01234	168964	23	41
jxaf4059187	1	sj660370	498737	476	241
jxaf4075390	1	guxiang19841213	204544	1471	11
jxaf4232729	5	hshsluo1015	100814	185	31
jxaf4492896	1	chenqunxing05	156290	788	11
jxag258969	1	wwx2009005	169180	947	12
jxag309504	6	myggshammelmxj	160861	113	41
jxah014880	5	13460393777	201402	486	31
jxah035413	3	960582ac	213795	3145	41
jxah041116	1	tianan9999icbc4	213934	2978	241
jxah048932	1	dcfdcf048932	148556	0	11
jxah049914	3	ll15036003535	323155	1782	31
jxah050993	2	jing_64683671	74715	2448	31
jxah052204	2	liyanryxily	86526	589	31
jxah054519	1	pw1163@126.com	419931	131	12
jxba008925	4	hlisy10000	351894	7595	31
jxba019164	5	wwll04	247431	4993	31
jxba023922	2	LOVEW1982WFT	268295	64	31
jxbb008509	2	diyufeng888	558864	906	31
jxbb011148	1	ff011148	99634	1468	41
jxbb014098	2	ilovelynlyn0423	270039	1948	31
jxbb020644	3	xyunhua10	199068	7993	41
jxbb022487	5	kgbkgb8850	786088	1500	31
jxbb025738	3	13588519122	109786	1478	12
jxbb027422	1	amandarain98jxbb	112026	2554	41
jxbb028448	1	hg750303	202147	1471	11
jxbb028475	3	gxx701106ghy	194078	150	41
jxbb030256	3	zjhcczjhcczjhcc	125389	11082	41
jxbb032685	6	maweirong2046	167177	1494	41
jxbb032849	3	maxiabiao198310	129602	61	12
jxbb033576	1	lzyang1299	415140	418	12
jxbb041658	3	960582af	159107	1275	41
jxbb052923	1	fengzhiyi1102	61080	1256	11
jxbb058654	4	jianyilaide	2556006	81349	12
jxbb065162	2	mfnf09	100529	1505	181
jxbb087308	1	chinalzx104	57634	1392	41
jxbb094672	1	fbw19870820	323507	920	12
jxbb095345	3	095344jxsj	242160	501	11
jxbb103914	1	monkeyh	124143	293	12
jxbb115197	3	gj_1234	393500	2540	11
jxbb115995	1	jacbenimaro	97920	997	12
jxbb136227	2	cgqpxj10009	202601	1592	31
jxbb143688	3	zgjxlnyh	89489	1289	41
jxbb145079	1	tam145079@sina.com	147298	1487	11
jxbb145233	5	wangdong270133	63335	800	181
jxbb147626	6	yunfeng1975	289547	1724	11
jxbb161453	1	aiqi000	143746	105	241
jxbb166914	5	693576750	94565	292	11
jxbb172024	3	benbo1998	111251	1248	12
jxbb184949	1	dsjxbb184949	259327	11904	41
jxbb191421	3	gdcztjwlmn	118475	632	41
jxbj44	2	FGBL971	304041	998	181
jxby016880	3	fengp991214	87202	1498	41
jxby033897	3	xlc230	434261	217	241
jxby068968	1	13511964034	112206	394	41
jxby096773	1	wcxjwcxj	190811	1358	12
jxdz022148	4	zhujian19781215	116927	51	31
jxdz031092	2	wanggangltc88888887	280322	3090	31
jxdz076090	2	33333327197735	372517	808	31
jxdz078147	1	fjwysyd	116813	1004	41
jxdz095841	1	84943596	186535	765	41
jxdz098892	1	398970024a	119357	69	41
jxdz110944	1	shirongju5	117500	1110	41
jxdz116017	2	youyoujiang	220109	645	31
jxdz160262	1	cao9871	223108	4362	41
jxdz197850	3	zc_ast1	265408	1024	41
jxdz224858	4	smiles1998	575477	1731	241
jxdz252362	1	xiangnidexin1982	211302	414	11
jxea162204	1	yqymm880909	288475	102	11
jxfa0040677	2	zhbtianxie2	193811	397	181
jxfa0061043	4	njzam100	229764	1458	11
jxfa0069682	1	xiaowdongldl	483623	1700	241
jxfa0083794	5	hldhtlimingyao	254891	645	31
jxfa0152966	5	uyhg2	432997	395	181
jxfa0189514	3	xiaoyuannian1977	168473	1230	12
jxfa0191268	1	ly281029429	93989	1206	41
jxfa0273713	3	js19730928	212001	656	11
jxfa0318817	4	qianliyipiao@163.com	1164527	0	241
jxfa0450436	5	xks_79	532569	1409	31
jxfa0506354	5	liuwengang0415	341362	3120	181
jxfa0566517	2	jxfa0566517	55226	720	181
jxfa0686930	1	zmgg1124599	305272	1389	241
jxfa0686938	1	zzmaw1124599	288773	337	241
jxfa0756077	4	893410660	481270	1342	41
jxfa0784447	5	dzwps1977	175427	121	31
jxfa0786701	2	fkldzh111	75131	41	31
jxfa0816054	1	562331776	207967	401	241
jxfa0844930	5	n15840	249296	9509	31
jxfa0857451	4	wh__y0123	1029727	1599	241
jxfa1127759	6	1726030899999	75719	923	11
jxfa1151500	2	qq9867	83703	819	31
jxfa1171435	2	333333327197735	316406	2446	31
jxfa1522083	1	t710s002	423236	1239	41
jxfa1560608	6	349397368ysw8	472507	261	31
jxfa1565097	6	fang36553	442813	4528	41
jxfa2051810	3	gz520168	261984	1333	41
jxfa2080501	2	love13833473782	2357169	988	31
jxfa2087106	2	lomo52666666	226265	1327	31
jxfa2117010	1	liyawei760416	1359767	0	41
jxfa2231688	3	caifeng_20080808	176431	396	11
jxfa2331688	1	zhoujw771215	300616	229	11
jxfa2424224	1	xiechanghong	84044	239	11
jxfa2431840	1	lanyuer7806	78802	737	11
jxfa2432013	3	gdcztht2	615503	3586	41
jxfa2434539	2	jxfa2434539	86153	802	31
jxfa2434583	1	jiaozhuguilai	80728	826	11
jxfa2434739	1	dsjxfa2434739	74362	1491	41
jxfa2437841	2	jltx2020	123632	6674	181
jxfa2438698	2	leisimaozhuanshi005	81011	545	31
jxfa2439165	2	slshi120	145989	561	31
jxfa2442080	5	woaiqinren	220919	224	41
jxfa3081053	3	gonglibo.ren	102621	701	12
jxfa3225197	6	cjsjt_1403	183583	31636	41
jxfa3385947	4	njx23853664	366379	1137	41
jxfa3549233	1	qhmhnzzgxm	291962	768	41
jxfa3586229	1	yangcj520	276629	465	11
jxfa3651662	1	xyzz999888	114510	1015	41
jxfa3737839	6	zhonglm555555	628878	30	11
jxfa3765721	4	zyxwb	454508	59	12
jxfa3816571	4	3761211670	97060	504	11
jxfa3912359	2	lingyuntian6767	99356	622	181
jxfa3931394	4	jianyilaide1	831809	408	12
jxfa4148219	1	JSFAAAAAA4148219	589796	4234	41
jxfa4206477	2	z4y4206477	249225	1500	31
jxfa4226655	3	tyh3276308	59550	203	41
jxfa4467267	3	tingttojx	55825	58	31
jxgr047296	2	suxinverygood	723392	0	31
jxgr081813	2	keailulu001	182605	257	241
jxgx222763	1	AA7060855	591939	1500	11
jxgx222970	4	jinj_js	588435	84	11
jxgx330986	4	zzf730424	231267	385	41
jxgx331362	5	hshsluo1011	151329	1118	31
jxlnth	3	jxlnth	166806	16389	41
jxlnyh	3	longnanyh	148598	2141	41
jxls207101	6	13571941566yoyo	93672	65	41
jxls225436	1	wenwei15850862210	197155	543	11
jxls226653	3	bojian318@163.com	609500	0	12
jxls256792	3	348653132_	123562	1500	41
jxls256896	3	js296808856	493367	1453	41
jxls328565	2	wocaishiweiwei55	155797	37	241
jxls347018	3	yjl731006	313587	876	41
jxls358695	4	yyhk2007	136257	261	12
jxls364948	5	815and329	864990	426	31
jxls400380	1	tiger_hujian6	532090	969	41
jxmt035748	2	ycg221be	201657	1413	31
jxmt043834	4	qqqwwwluoqi@sina.com	215519	1131	41
jxmt092179	2	13386880300	266094	1500	31
jxmt103831	1	tlltq12345	98233	829	241
jxmt103859	4	jianzhijianshi	127977	1206	11
jxmt110025	1	kkdd9228	280871	3327	41
jxmt114430	4	jie_crab@163.com	172708	770	12
jxmt115426	1	8938392889383928	113591	429	11
jxmt126107	2	1chengxiwanglin@163.com	632934	9713	31
jxmt196221	3	jjyysxl123	242106	404	41
jxoem0007	1	sfzy1199	238526	1244	11
jxoem113008	2	jing_3009	115560	744	31
jxph004128	6	fbq_zzz	488353	68	11
jxph005229	1	13401320561	173354	148	12
jxph009752	6	785492632pp	107160	3150	12
jxph012098	2	84920505	773296	3950	181
jxph014499	6	ntchongen	82704	307	12
jxph024121	1	mymilan	3109555	2951	241
jxph028260	2	huahuataisui12	490257	137	31
jxph028921	2	cgqpxj10007	127788	526	31
jxph031324	5	460800889d	481874	1222	11
jxph042280	6	caosini1111	240795	667	31
jxph053288	3	samuel0719	69239	73	12
jxph061124	3	sunling196911	227775	3426	12
jxph061961	1	jw731114	104971	45	11
jxph083553	1	13600795588	370743	1449	12
jxph087880	2	bool1	189162	1460	31
jxph088890	1	zyxhel66	507431	4838	12
jxph092640	2	niudelin456	63671	765	181
jxph101158	2	jbfgn5098	313796	750	41
jxph104174	1	dang1207451	319970	1639	12
jxph106344	4	rongzonghua7568	269005	595	41
jxph106880	1	fansigeren57124	235813	374	41
jxph108073	1	v33388	404163	47	12
jxph110777	5	happynjl1	249886	1616	31
jxph114960	1	77wei77jx	245928	1083	12
jxph117685	1	wwx2009001	111813	3146	12
jxph119282	4	srlm110jxsrzwt	97303	1129	11
jxph123466	6	fyihua12345678	103678	960	11
jxph125149	1	yunyun7780	504409	1720	241
jxph129311	5	416493060hz	165917	774	31
jxph132118	3	05654813483	408620	7240	11
jxph132607	2	jxph132607	391011	528	41
jxph139162	4	8265592	239094	748	41
jxph147127	1	guanyuansen3	384444	355	41
jxph152420	2	ydhydh0089	323511	5548	31
jxph154553	1	gyzzh121	335515	1388	41
jxph156268	1	liwei801212	1153929	34600	12
jxqydehao	5	QQ4528967	372488	344	31
jxsryxh	4	185549907	380860	177	11
jxsrzwt	4	081193	284016	505	11
jxst003661	5	xbgn0328	244479	1757	181
jxst007973	6	JXST007973	308558	593	41
jxst403252	2	zhiyanbin168	453859	316	12
jxst404574	1	jxst404574	102020	241	241
jxst410905	1	13539443783b	298356	22536	12
jxst422223	1	zhyhslq	523696	6183	11
jxst430871	2	glbly	214536	920	12
jxst438745	1	ptycq111	545833	15352	41
jxst451581	4	a598208288	73299	428	11
jxst456311	3	652460658shj	233561	180	41
jxst464383	1	lzj8928	318432	1600	41
jxst472708	3	sayak0614	336274	435	31
jxst478373	4	fatty6688	323039	10187	11
jxst487101	1	973533252	186190	1568	41
jxst492771	1	gamezfzj2	648715	2761	11
jxst515654	2	lfrzjxsj	412681	2000	31
jxst524316	1	majun5555	411524	1500	11
jxst544907	5	jswg544907	497360	11050	31
jxst555990	5	yc21620	117658	1267	31
jxst556586	5	jxst556586l	532578	331	31
jxst565519	1	jfwb408818	557517	7689	41
jxst565684	1	lizhi_731	427662	2437	41
jxst568827	4	16817773	137700	5027	31
jxst569711	1	chang75@sina.com	430743	2007	41
jxst582252	6	zhangweiwyx999	198560	662	41
jxst582908	3	xnx_710030177	155022	1476	12
jxst591172	1	lichunrong226	346506	2014	241
jxst595640	1	glen200	615513	1225	11
jxst599807	2	bsszxx1	424221	68	31
jxst601994	4	dg92	262580	1345	41
